date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:42:27	1491/1491	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2005%20Jul%202024%2013:42:27%20GMT	https://burgerworldsol.xyz/robots.txt		(from )
15:42:27	14627/14627	---MCZ	200	added ('OK')	text/html	etag:W/%22f11d71a5bf1112f6f5d4d925fd720916%22	https://burgerworldsol.xyz/	C:/My%20Web%20Sites/burgercina/burgerworldsol.xyz/index.html	(from )
15:42:28	15406/15406	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%2264dff2d233fb86ffbac2e042c14fdea3%22	https://burgerworldsol.xyz/favicon.ico	C:/My%20Web%20Sites/burgercina/burgerworldsol.xyz/favicon.ico	(from https://burgerworldsol.xyz/)
15:42:28	1469900/1469900	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a5ccf845f4dd31a3deecbfe679057841%22	https://burgerworldsol.xyz/assets/plugins/fontawesome/js/all.js	C:/My%20Web%20Sites/burgercina/burgerworldsol.xyz/assets/plugins/fontawesome/js/all.js	(from https://burgerworldsol.xyz/)
15:42:28	155845/155845	---MCZ	200	added ('OK')	text/css	etag:W/%22abe91756d18b7cd60871a2f47c1e8192%22	https://burgerworldsol.xyz/assets/plugins/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/burgercina/burgerworldsol.xyz/assets/plugins/bootstrap/css/bootstrap.min.css	(from https://burgerworldsol.xyz/)
15:42:28	7052/7052	---MCZ	200	added ('OK')	text/css	etag:W/%223c936cd7a5771a7b14d6f4918591617d%22	https://burgerworldsol.xyz/assets/css/style.css	C:/My%20Web%20Sites/burgercina/burgerworldsol.xyz/assets/css/style.css	(from https://burgerworldsol.xyz/)
15:42:28	2949/2949	---MCZ	200	added ('OK')	text/css	etag:W/%22a33f8c93dc6e1e43c6a0dfa800ce62f9%22	https://burgerworldsol.xyz/assets/css/animation.css	C:/My%20Web%20Sites/burgercina/burgerworldsol.xyz/assets/css/animation.css	(from https://burgerworldsol.xyz/)
15:42:29	1776/1776	---MCZ	200	added ('OK')	text/css	etag:W/%22f38b2db10e01b1572732a3191d538707%22	https://burgerworldsol.xyz/assets/plugins/slick/slick.css	C:/My%20Web%20Sites/burgercina/burgerworldsol.xyz/assets/plugins/slick/slick.css	(from https://burgerworldsol.xyz/)
15:42:29	89501/89501	---MCZ	200	added ('OK')	application/javascript	etag:W/%228fb8fee4fcc3cc86ff6c724154c49c42%22	https://burgerworldsol.xyz/assets/js/jquery-3.6.0.min.js	C:/My%20Web%20Sites/burgercina/burgerworldsol.xyz/assets/js/jquery-3.6.0.min.js	(from https://burgerworldsol.xyz/)
15:42:29	26093/26093	---M--	200	added ('OK')	image/png	etag:%22858d5968b5632b3b6b3008d5fd21fd63%22	https://burgerworldsol.xyz/apple-touch-icon.png	C:/My%20Web%20Sites/burgercina/burgerworldsol.xyz/apple-touch-icon.png	(from https://burgerworldsol.xyz/)
15:42:29	1898/1898	---M--	200	added ('OK')	image/png	etag:%22ae66959c939fc3d1e59096e6c91c7c72%22	https://burgerworldsol.xyz/favicon-32x32.png	C:/My%20Web%20Sites/burgercina/burgerworldsol.xyz/favicon-32x32.png	(from https://burgerworldsol.xyz/)
15:42:30	769/769	---M--	200	added ('OK')	image/png	etag:%22ee0f3c541174ded0a4a4d993260b0ae0%22	https://burgerworldsol.xyz/favicon-16x16.png	C:/My%20Web%20Sites/burgercina/burgerworldsol.xyz/favicon-16x16.png	(from https://burgerworldsol.xyz/)
15:42:30	263/263	---M--	200	added ('OK')	application/manifest+json	etag:%22053100cb84a50d2ae7f5492f7dd7f25e%22	https://burgerworldsol.xyz/site.webmanifest	C:/My%20Web%20Sites/burgercina/burgerworldsol.xyz/site.webmanifest	(from https://burgerworldsol.xyz/)
15:42:30	3039536/3039536	---M--	200	added ('OK')	audio/mpeg	etag:%22ff85216c684ac01c979efa114c83088f%22	https://burgerworldsol.xyz/assets/music.mp3	C:/My%20Web%20Sites/burgercina/burgerworldsol.xyz/assets/music.mp3	(from https://burgerworldsol.xyz/)
15:42:31	167529/167529	---M--	200	added ('OK')	audio/mpeg	etag:%22133ae77f9744686e658bcdfe690c5b27%22	https://burgerworldsol.xyz/assets/beavis.mp3	C:/My%20Web%20Sites/burgercina/burgerworldsol.xyz/assets/beavis.mp3	(from https://burgerworldsol.xyz/)
15:42:31	4879725/4879725	---M--	200	added ('OK')	audio/mpeg	etag:%226d0f2cac44cabf4132276f86d2a7f20b%22	https://burgerworldsol.xyz/assets/trash-music.mp3	C:/My%20Web%20Sites/burgercina/burgerworldsol.xyz/assets/trash-music.mp3	(from https://burgerworldsol.xyz/)
15:42:31	33541/33541	---M--	200	added ('OK')	image/png	etag:%22c8a78ad525edc9784b0058e1f98308ba%22	https://burgerworldsol.xyz/assets/images/btn-goback.png	C:/My%20Web%20Sites/burgercina/burgerworldsol.xyz/assets/images/btn-goback.png	(from https://burgerworldsol.xyz/)
15:42:31	1418789/1418789	---M--	200	added ('OK')	image/png	etag:%22c65831f128b16a15f8429ac5bc02db18%22	https://burgerworldsol.xyz/assets/images/background-resto.png	C:/My%20Web%20Sites/burgercina/burgerworldsol.xyz/assets/images/background-resto.png	(from https://burgerworldsol.xyz/)
15:42:31	31439/31439	---M--	200	added ('OK')	image/png	etag:%22f5c4a67ce9484d2f6e4313141e9afddf%22	https://burgerworldsol.xyz/assets/images/burger-ticker.png	C:/My%20Web%20Sites/burgercina/burgerworldsol.xyz/assets/images/burger-ticker.png	(from https://burgerworldsol.xyz/)
15:42:32	36096/36096	---M--	200	added ('OK')	image/png	etag:%227086ee54cf5fecb1712aa7a53334aa9c%22	https://burgerworldsol.xyz/assets/images/btn-come-inside.png	C:/My%20Web%20Sites/burgercina/burgerworldsol.xyz/assets/images/btn-come-inside.png	(from https://burgerworldsol.xyz/)
15:42:32	34077/34077	---M--	200	added ('OK')	image/png	etag:%22ac5f1faefc09525f812ede861078ad6f%22	https://burgerworldsol.xyz/assets/images/btn-drive-thru.png	C:/My%20Web%20Sites/burgercina/burgerworldsol.xyz/assets/images/btn-drive-thru.png	(from https://burgerworldsol.xyz/)
15:42:32	46123/46123	---M--	200	added ('OK')	image/png	etag:%2276d20893204635f7c934ef38a318c904%22	https://burgerworldsol.xyz/assets/images/btn-take-out-trash.png	C:/My%20Web%20Sites/burgercina/burgerworldsol.xyz/assets/images/btn-take-out-trash.png	(from https://burgerworldsol.xyz/)
15:42:32	65453/65453	---M--	200	added ('OK')	image/png	etag:%22668ad45924c9b9be6ec6d011fbfa7a6e%22	https://burgerworldsol.xyz/assets/images/logo-post.png	C:/My%20Web%20Sites/burgercina/burgerworldsol.xyz/assets/images/logo-post.png	(from https://burgerworldsol.xyz/)
15:42:33	225758/225758	---M--	200	added ('OK')	image/png	etag:%22c71edb5bed7bc6dabc1eb4602098fc15%22	https://burgerworldsol.xyz/assets/images/rat.png	C:/My%20Web%20Sites/burgercina/burgerworldsol.xyz/assets/images/rat.png	(from https://burgerworldsol.xyz/)
15:42:33	188310/188310	---M--	200	added ('OK')	image/png	etag:%223a3a40716e82af1cc09060785380d86a%22	https://burgerworldsol.xyz/assets/images/lambo.png	C:/My%20Web%20Sites/burgercina/burgerworldsol.xyz/assets/images/lambo.png	(from https://burgerworldsol.xyz/)
15:42:33	13642324/13642324	---M--	200	added ('OK')	audio/mpeg	etag:%224374bfc1ffa671382b677b40b3dc3ca8%22	https://burgerworldsol.xyz/assets/inside-music.mp3	C:/My%20Web%20Sites/burgercina/burgerworldsol.xyz/assets/inside-music.mp3	(from https://burgerworldsol.xyz/)
15:42:33	225267/225267	---M--	200	added ('OK')	image/png	etag:%225cfc365822cd3c2eba6d4e3cfa37b673%22	https://burgerworldsol.xyz/assets/images/lamboo-2.png	C:/My%20Web%20Sites/burgercina/burgerworldsol.xyz/assets/images/lamboo-2.png	(from https://burgerworldsol.xyz/)
15:42:33	214576/214576	---M--	200	added ('OK')	image/png	etag:%220f4bb1422602d8f0d8a990de89dab6f7%22	https://burgerworldsol.xyz/assets/images/char-1.png	C:/My%20Web%20Sites/burgercina/burgerworldsol.xyz/assets/images/char-1.png	(from https://burgerworldsol.xyz/)
15:42:33	131805/131805	---M--	200	added ('OK')	image/png	etag:%228fb1ca4a6325309885a233c8ad0900a3%22	https://burgerworldsol.xyz/assets/images/char-2.png	C:/My%20Web%20Sites/burgercina/burgerworldsol.xyz/assets/images/char-2.png	(from https://burgerworldsol.xyz/)
15:42:34	164532/164532	---M--	200	added ('OK')	image/png	etag:%226f75b2db15f83e1132697e3b328ce941%22	https://burgerworldsol.xyz/assets/images/char-3.png	C:/My%20Web%20Sites/burgercina/burgerworldsol.xyz/assets/images/char-3.png	(from https://burgerworldsol.xyz/)
15:42:34	346531/346531	---M--	200	added ('OK')	image/png	etag:%222064e4cc8f272a88b33bd02a07c7b675%22	https://burgerworldsol.xyz/assets/images/char-14.png	C:/My%20Web%20Sites/burgercina/burgerworldsol.xyz/assets/images/char-14.png	(from https://burgerworldsol.xyz/)
15:42:34	348815/348815	---M--	200	added ('OK')	image/png	etag:%2290c569e4f91dd1b8d44606d55bfaf8fb%22	https://burgerworldsol.xyz/assets/images/resto-inside.png	C:/My%20Web%20Sites/burgercina/burgerworldsol.xyz/assets/images/resto-inside.png	(from https://burgerworldsol.xyz/)
15:42:34	45030/45030	---M--	200	added ('OK')	image/png	etag:%22433e704bbb79f622472e20e0f2c8dfaf%22	https://burgerworldsol.xyz/assets/images/btn-whats-cooking.png	C:/My%20Web%20Sites/burgercina/burgerworldsol.xyz/assets/images/btn-whats-cooking.png	(from https://burgerworldsol.xyz/)
15:42:34	38564/38564	---M--	200	added ('OK')	image/png	etag:%22018baaabb39cc9cedb32f709eb42d4a4%22	https://burgerworldsol.xyz/assets/images/btn-look-arround.png	C:/My%20Web%20Sites/burgercina/burgerworldsol.xyz/assets/images/btn-look-arround.png	(from https://burgerworldsol.xyz/)
15:42:35	3405/3405	---M--	200	added ('OK')	image/png	etag:%22cf321985f609b4ca6ca281005001a0a0%22	https://burgerworldsol.xyz/assets/images/x-icon.png	C:/My%20Web%20Sites/burgercina/burgerworldsol.xyz/assets/images/x-icon.png	(from https://burgerworldsol.xyz/)
15:42:35	36055/36055	---M--	200	added ('OK')	image/png	etag:%2281eaef3ad228f0d1070233e9d5a0aacb%22	https://burgerworldsol.xyz/assets/images/telegram-icon.png	C:/My%20Web%20Sites/burgercina/burgerworldsol.xyz/assets/images/telegram-icon.png	(from https://burgerworldsol.xyz/)
15:42:35	40896/40896	---M--	200	added ('OK')	image/png	etag:%2250c429455b541ca6e6b0ec76f7ffe193%22	https://burgerworldsol.xyz/assets/images/dex-icon.png	C:/My%20Web%20Sites/burgercina/burgerworldsol.xyz/assets/images/dex-icon.png	(from https://burgerworldsol.xyz/)
